Date,Open,High,Low,Close,Volume,Open Int
2021-11-17,16297.75,16396.5,16270.0,16311.5,455992,0
2021-11-18,16322.5,16508.0,16303.5,16481.25,602241,0
2021-11-19,16503.25,16628.5,16490.25,16575.0,549031,0
2021-11-22,16600.25,16767.5,16364.5,16382.0,770668,0
2021-11-23,16399.0,16418.75,16118.5,16312.0,901449,0
2021-11-24,16300.25,16368.5,16102.0,16366.0,656267,0
2021-11-26,16360.0,16436.0,15988.0,16051.0,680753,0
2021-11-29,16046.5,16437.75,16038.0,16390.75,597936,0
2021-11-30,16419.0,16456.25,16068.75,16150.5,854651,0
2021-12-01,16238.75,16427.5,15825.25,15869.75,861888,0
2021-12-02,15891.75,16066.25,15762.75,15988.5,853707,0
2021-12-03,16020.0,16121.75,15538.0,15717.75,898849,0
2021-12-06,15716.25,15897.25,15559.25,15842.75,695515,0
2021-12-07,15848.75,16374.5,15824.5,16318.0,594627,0
2021-12-08,16360.5,16436.75,16251.5,16392.25,494849,0
2021-12-09,16380.5,16420.0,16120.25,16148.75,612576,0
2021-12-10,16158.5,16335.75,16133.75,16329.75,395288,0
2021-12-13,16321.75,16411.25,16064.25,16082.0,286177,0
2021-12-14,16085.0,16133.75,15738.5,15924.75,274758,0
2021-12-15,15928.5,16302.5,15744.5,16288.0,161710,0
2021-12-16,16288.5,16459.25,15800.25,15870.5,143255,0
2021-12-17,15873.0,15902.0,15668.0,15717.3203125,800579,0
2021-12-20,15809.5,15851.75,15492.0,15621.25,676197,0
2021-12-21,15674.25,15987.25,15605.0,15980.0,530228,0
2021-12-22,15979.0,16183.0,15881.5,16169.75,476670,0
2021-12-23,16180.0,16356.0,16145.25,16299.0,349182,0
2021-12-27,16304.25,16580.75,16304.25,16560.0,351308,0
2021-12-28,16565.75,16659.5,16452.25,16488.0,454633,0
2021-12-29,16513.5,16564.25,16387.5,16490.5,354985,0
2021-12-30,16484.5,16567.5,16411.25,16430.25,304259,0
2021-12-31,16431.0,16464.0,16313.75,16320.75,363720,0
2022-01-03,16356.0,16508.0,16292.0,16485.5,513549,0
2022-01-04,16497.75,16564.0,16139.5,16275.75,669527,0
2022-01-05,16265.0,16269.0,15752.75,15766.5,769790,0
2022-01-06,15763.75,15895.75,15598.5,15759.0,802950,0
2022-01-07,15801.75,15852.75,15510.0,15581.0,704406,0
2022-01-10,15590.0,15669.0,15152.5,15608.0,888780,0
2022-01-11,15622.25,15839.5,15475.0,15831.0,709363,0
2022-01-12,15826.0,16009.25,15762.5,15887.25,671265,0
2022-01-13,15901.0,15979.75,15458.25,15490.25,763018,0
2022-01-14,15505.0,15621.0,15312.5,15595.75,795897,0
2022-01-18,15616.75,15653.25,15170.75,15206.0,868066,0
2022-01-19,15238.75,15372.0,15011.25,15033.5,776612,0
2022-01-20,15042.25,15340.25,14646.75,14841.0,771410,0
2022-01-21,14722.0,14858.5,14408.5,14426.5,1041723,0
2022-01-24,14410.0,14582.0,13706.0,14501.0,1323080,0
2022-01-25,14495.0,14499.0,13890.0,14140.75,957800,0
2022-01-26,13945.5,14639.75,13945.5,14158.5,908549,0
2022-01-27,14194.0,14409.25,13844.5,13986.75,866647,0
2022-01-28,14167.75,14442.0,13831.0,14433.0,878243,0
2022-01-31,14454.0,14914.75,14353.25,14905.0,654278,0
2022-02-01,14868.75,15137.0,14729.25,14994.75,597305,0
2022-02-02,15129.0,15260.0,14825.0,15114.5,645396,0
2022-02-03,14852.5,14870.0,14456.25,14492.25,731581,0
2022-02-04,14770.0,14825.75,14362.75,14685.5,763735,0
2022-02-07,14682.5,14806.25,14511.5,14559.75,562312,0
2022-02-08,14600.0,14776.0,14467.5,14734.5,611858,0
2022-02-09,14746.25,15068.0,14741.0,15038.25,529886,0
2022-02-10,15062.25,15062.25,14622.0,14701.0,834478,0
2022-02-11,14698.25,14766.75,14181.0,14240.5,835981,0
2022-02-14,14250.0,14394.0,14031.0,14253.0,734224,0
2022-02-15,14257.0,14614.75,14223.25,14609.5,558472,0
2022-02-16,14588.0,14668.5,14381.0,14600.0,594304,0
2022-02-17,14592.25,14619.5,14131.5,14164.75,631084,0
2022-02-18,14156.25,14299.0,13906.25,13996.0,760914,0
2022-02-22,13952.75,14157.5,13580.25,13862.75,1114720,0
2022-02-23,13928.25,14068.75,13471.25,13507.5,713187,0
2022-02-24,13484.25,13983.25,13025.75,13966.5,1122732,0
2022-02-25,13909.5,14196.25,13760.25,14180.5,784997,0
2022-02-28,13900.25,14292.25,13683.0,14228.0,753711,0
2022-03-01,14219.25,14327.75,13900.0,14005.5,645171,0
2022-03-02,14026.25,14290.0,13911.5,14239.25,629022,0
2022-03-03,14196.5,14391.0,13955.0,14030.5,596925,0
